"Applied Date","Last Update","Company Name","Location","Position","Status","Source","Email Subject","Notes"
"2026-04-09","","ProDirectional","","Software Engineer (Full-Stack)","Pending","LinkedIn","Your application to Software Engineer (Full-Stack) at ProDirectional","Duplicate LinkedIn confirmation collapsed into one row."
"2026-04-09","","Partify","","Web Developer","Pending","LinkedIn","Your application to Web Developer at Partify","Duplicate LinkedIn confirmation collapsed into one row."
"2026-04-09","","Asset Strategies Group, LLC","","Software Developer (Full Stack)","Pending","LinkedIn","Your application to Software Developer (Full Stack) at Asset Strategies Group, LLC","Duplicate LinkedIn confirmation collapsed into one row."
"2026-04-07","2026-04-08","SmithRx","","Software Engineer, New Grad (Recent 2025 Grads)","Rejected","Direct","Update on your application for Software Engineer, New Grad (Recent 2025 Grads) with SmithRx","Applied 2026-04-07; rejection received 2026-04-08."
"2026-04-08","","The Marcy Lab School","","Lead Instructor, Software Engineering","Rejected","Gusto","Your Application to The Marcy Lab School","Rejected in status email."
"2026-04-08","","SOTEREON.AI","","Frontend Engineer","Pending","LinkedIn","Your application to Frontend Engineer at SOTEREON.AI","Duplicate LinkedIn confirmation collapsed into one row."
"2026-04-08","","Cumulus","","Deployment Engineer","Pending","LinkedIn","Your application to Deployment Engineer at Cumulus","Duplicate LinkedIn confirmation collapsed into one row."
"2026-04-08","","Outcome","","Forward Deployed Engineer","Pending","LinkedIn","Your application to Forward Deployed Engineer at Outcome",""
"2026-04-08","","Valens Software LLC","","Full Stack Software Developer","Pending","LinkedIn","Your application to Full Stack Software Developer at Valens Software LLC",""
"2026-04-08","","HYGO","","Full Stack Product Engineer (UI/Brand/Design Focus)","Pending","LinkedIn","Your application to Full Stack Product Engineer (UI/Brand/Design Focus) at HYGO",""
"2026-04-08","","Jackson Parker Operating","","Backend Engineer (Mid-Level)","Pending","LinkedIn","Your application to Backend Engineer (Mid-Level) at Jackson Parker Operating",""
"2026-04-08","","Axiom (YC W25)","","Founding Software Engineer","Pending","LinkedIn","Your application to Founding Software Engineer at Axiom (YC W25)",""
"2026-04-08","","AurosIQ","","Application Engineer","Pending","LinkedIn","Your application to Application Engineer at AurosIQ",""
"2026-04-08","","EZ Metrology","","Application Engineer","Pending","LinkedIn","Your application to Application Engineer at EZ Metrology",""
"2026-04-08","","Infisical","","Full Stack Engineer (Global)","Pending","Ashby","Thanks for applying to Infisical",""
"2026-04-06","2026-04-07","Pariveda","","Software Engineer","Rejected","Ashby","Thanks for applying to Pariveda","Applied 2026-04-06; rejection received 2026-04-07."
"2026-04-06","2026-04-07","Optiver","","Software Engineer","Rejected","Direct","Optiver | Action Required - Potential Student and Recent Grad Opportunities","Applied 2026-04-06; follow-up redirected you away from the original role."
"2026-04-06","2026-04-07","FDM Group","","Junior Solutions Engineer Consultant","Rejected","Direct","We've received your application","Applied 2026-04-06; rejection received 2026-04-07."
"2026-04-07","","WHOOP","","Software Engineer I (Backend)","Pending","Lever","Thank you for your application to WHOOP",""
"2026-04-07","","Palantir","","Software Engineer, New Grad","Pending","Lever","Your application has been received!",""
"2026-04-07","","Microsoft","","Software Engineer (Job number: 200002515)","Pending","Microsoft Careers","Thank you for your application!",""
"2026-04-07","","Microsoft","","Software Engineer (Job number: 200000456)","Pending","Microsoft Careers","Thank you for your application!",""
"2026-04-07","","Whatnot","","2026 Software Engineer New Grad","Pending","Ashby","Thank you for applying to Whatnot!",""
"2026-04-07","","Pylon","","Software Engineer","Pending","Ashby","Pylon: We've received your application!",""
"2026-04-07","","Color","","Unknown","Pending","Lever","Thank you for applying to Color!","Role not exposed in confirmation email."
"2026-04-07","","Zip","","Software Engineer Intern (Summer 2026)","Pending","Ashby","Thank you for applying to Zip!",""
"2026-04-07","","Replit","","Software Engineer (New Grad 2026)","Pending","Ashby","Thank you for your application to Replit",""
"2026-04-06","","Best Buy","","Front-End Engineer I, Ads Engineering","Rejected","BrassRing","Application submission for Best Buy","Rejected in status email."
"2026-04-03","","Medpace, Inc.","","Software Development Co-Op - Summer 2026","Pending","iCIMS","Thank you for your application",""
"2026-04-06","","Veeva","","Associate Software Engineer - Seeking 2025 & 2026 Grads","Rejected","Lever","Thank you for your interest in Veeva","Rejected in response email."
"2026-04-06","","The Judge Group","Wilmington, DE","Junior Java Developer","Pending","LinkedIn","Shreya, your application was sent to The Judge Group",""
"2026-04-06","","Lucid Services Group","Indianapolis, IN","Software Engineer","Pending","LinkedIn","Shreya, your application was sent to Lucid Services Group","Duplicate LinkedIn confirmation collapsed into one row."
"2026-04-06","","Monster Energy","","Unknown","Pending","Direct","Thank you for applying to Monster Energy!","Role not exposed in confirmation email."
"2026-04-06","","Bookspert","United States","Software Engineer","Pending","LinkedIn","Shreya, your application was sent to Bookspert","Position inferred from partially garbled body."
"2026-04-06","","Navan","","New College Grad Software Engineer (Backend)","Pending","Direct","Thank you for applying to Navan",""
"2026-04-06","","Cognizant","","Full Stack Software Developer","Pending","Direct","We've received your application!",""
"2026-04-06","","Boehringer Ingelheim","","Co-op IT AI Developer","Pending","Direct","Boehringer Ingelheim: Co-op IT AI Developer (32692) - Thank you for your application!",""
"2026-04-06","","CollectWise","New York, NY","Forward Deployed Engineer","Pending","LinkedIn","Shreya, your application was sent to CollectWise",""
"2026-04-06","","Xenia","Boston, MA","Early Career Software Engineer","Pending","LinkedIn","Shreya, your application was sent to Xenia",""
"2026-04-06","","Notability","","Unknown","Pending","Greenhouse","Thank you for applying to Notability","Role not exposed in confirmation email."
"2026-04-06","","Connection Technology Center","","Unknown","Pending","LinkedIn","Shreya, your application was sent to Connection Technology Center","Role not exposed in parsed body."
"2026-04-06","","Sigma Integrale","Pomona, CA","Software Engineer","Pending","LinkedIn","Shreya, your application was sent to Sigma Integrale",""
"2026-04-06","","Framework MI, Inc.","Cincinnati Metropolitan Area","Mobile Application Developer","Pending","LinkedIn","Shreya, your application was sent to Framework MI, Inc.",""
"2026-04-06","","GENISYSAPP","","Unknown","Pending","LinkedIn","Shreya, your application was sent to GENISYSAPP","Role not exposed in email summary."
"2026-04-06","","braintrance.net","","Unknown","Pending","LinkedIn","Shreya, your application was sent to braintrance.net","Role not exposed in email summary."
"2026-04-06","","newchat","","Unknown","Pending","LinkedIn","Shreya, your application was sent to newchat","Role not exposed in email summary."
"2026-04-05","","AQR","","Software Engineer - Quantitative Research","Pending","Greenhouse","Thank you for applying to AQR",""
"2026-04-05","","ABC Fitness Solutions","","Software Engineer - SQL Development Intern","Pending","Workday","Thank You for Applying!",""
"2026-04-05","","Mercedes-Benz USA, LLC","","Product Technical Support (AI Engineer) Junior Associate Consultant (Intern)","Pending","Direct","Product Technical Support (AI Engineer) Junior Associate Consultant (Intern) at Mercedes-Benz Group AG - Mercedes-Benz USA, LLC",""
"2026-04-05","","CyberCoders","","Unknown","Pending","LinkedIn","Shreya, your application was sent to CyberCoders","Role not exposed in email summary."
"2026-04-01","","FanThreeSixty, LLC","","Software Engineer Intern","Rejected","Workday","Software Engineer Intern Opportunity","Rejected in status email."
"2026-03-29","","BAE Systems","","Principal Software Engineer (Hybrid)","Rejected","BrassRing","BAE Systems - Application Status for Principal Software Engineer (Hybrid), 119469BR",""
"2026-03-27","","Illuminate","","Senior Software Engineer","Pending","LinkedIn","Your application to Senior Software Engineer at Illuminate",""
"2026-03-24","","Torch.AI","","Software Engineer (Junior)","Rejected","Paycom","Application Status Change for Software Engineer (Junior)","Rejected due to missing resume."
"2025-09-11","","DMA","","Software Development Intern - Summer 2026","Rejected","Workday","Thank you for your interest in DMA!",""
"2025-09-11","","DMA","","Software Development Intern - Spring 2026","Rejected","Workday","Thank you for your interest in DMA!",""
"2025-04-02","","Oracle","","Software Engineer Intern - Analytics Cloud-255982","Pending","Oracle Careers","Thank you for your application to Oracle",""
"2025-02-12","","Swiss Re","","Surety Data & Analytics Intern","Rejected","SuccessFactors","Update on your application for Surety Data & Analytics Intern",""
"2025-01-09","","Cummins","","Information Technology Summer Internship Positions","Rejected","Direct","Thank You for your interest in Information Technology Summer Internship Positions",""
"2025-01-07","","Swiss Re","","Claims Intern","Rejected","SuccessFactors","Update on your application for Claims Intern",""
"2025-01-06","","Raytheon","","2025 Intern - Raytheon Software Intern (Onsite)","Rejected","Workday","Update on your Application!",""
"2024-12-10","","Swiss Re","","U.S. Medical Reinsurance Intern","Rejected","SuccessFactors","Update on your application for U.S. Medical Reinsurance Intern",""
"2024-11-22","","Swiss Re","","Actuary","Rejected","SuccessFactors","Update on your application for Actuary",""
"2024-11-22","","Raytheon","","2025 Intern - Raytheon Fellowship Program - Software Engineer Intern (On-site)","Rejected","Workday","Update on your Application!",""
"2024-11-08","","Virginia Green","","IT Support Intern","Pending","LinkedIn","Your application to IT Support Intern at Virginia Green",""
"2024-11-07","","Cranium","","AI/ML Engineer Intern - Spring 2025","Pending","LinkedIn","Your application to AI/ML Engineer Intern - Spring 2025 at Cranium",""
"2024-11-05","","Green Bay Packaging","","IT Network Intern","Rejected","UKG","Thank you for your interest in the IT Network Intern position",""
"2024-11-04","","Garmin International, Inc.","Boulder, CO","Software Engineering Intern","Rejected","iCIMS","Software Engineering Intern at Garmin International, Inc. (Boulder, CO)",""
"2024-11-04","","General Dynamics Mission Systems","","Intern Engineer (Software / Embedded Software)","Rejected","iCIMS","General Dynamics Mission Systems Req 2024-64342 - Intern Engineer (Software / Embedded Software)",""
"2023-10-30","","Slash Mark","Hyderabad, Telangana","3-Months Virtual Internship Program","Shortlisted","Direct","Important Information for Shortlisted Candidates from AICTE by Slash Mark","Shortlisted and asked to complete additional registration steps."
"2023-08-09","","IBM SkillsBuild / Edunet Foundation","Virtual","6 Weeks Internship Program - Artificial Intelligence","Accepted","Direct","Welcome to the IBM SkillsBuild Internship Program!","Orientation scheduled for 2023-08-18; email states application and acceptance."
